order,seasonal_order,aic,bic,konvergerte
"(0, 1, 2)","(1, 0, 0, 5)",2603.917940209012,2623.7675463934193,True
"(0, 0, 2)","(1, 1, 0, 5)",2605.7939858675463,2625.5235880517134,True
"(2, 1, 1)","(0, 0, 1, 5)",2606.610395597215,2629.698617163051,False
"(2, 1, 0)","(1, 1, 0, 5)",2606.93136497012,2626.5693623215025,True
"(2, 1, 1)","(1, 0, 1, 5)",2607.821989729059,2634.2085286614433,True
"(1, 0, 1)","(1, 0, 0, 5)",2607.9157020333614,2627.7653082177685,True
"(0, 1, 1)","(0, 0, 1, 5)",2607.965731798799,2624.4573186315392,True
"(2, 1, 0)","(1, 0, 0, 5)",2607.9989767566703,2627.7888809559586,True
"(1, 1, 1)","(0, 0, 1, 5)",2608.8364326302676,2628.626336829556,True
"(2, 1, 0)","(1, 0, 1, 5)",2609.7550622892586,2632.843283855095,True
"(0, 1, 1)","(1, 0, 1, 5)",2609.7724959515676,2629.562400150856,True
"(1, 0, 1)","(1, 1, 0, 5)",2610.260912105271,2629.960134477699,True
"(1, 1, 1)","(1, 0, 1, 5)",2610.4190464038184,2633.5072679696545,True
"(0, 0, 2)","(1, 0, 0, 5)",2612.302630265819,2632.18186614007,False
"(1, 0, 0)","(0, 0, 1, 5)",2615.51501136926,2632.056349856266,True
"(1, 0, 0)","(1, 0, 0, 5)",2615.5534573889963,2632.0947958760025,True
"(2, 1, 2)","(0, 0, 0, 5)",2616.4825056213585,2639.709345578268,False
"(1, 0, 0)","(1, 0, 1, 5)",2617.0348914117985,2636.8844975962056,True
"(0, 0, 1)","(0, 1, 1, 5)",2618.8240501425453,2635.214623438698,False
"(1, 1, 0)","(1, 1, 0, 5)",2618.831480579173,2635.2220538753254,True
"(1, 1, 0)","(1, 0, 0, 5)",2618.973194230156,2635.4897187704514,True
"(1, 1, 0)","(0, 0, 1, 5)",2619.094822615708,2635.6113471560034,True
"(0, 0, 1)","(1, 1, 1, 5)",2620.225929119315,2639.894617074698,False
"(2, 1, 0)","(0, 0, 1, 5)",2620.237073929577,2640.0569033779316,True
"(1, 1, 1)","(1, 1, 0, 5)",2620.529623077342,2640.198311032725,True
"(1, 1, 0)","(1, 0, 1, 5)",2620.6709523848376,2640.490781833192,True
"(1, 1, 1)","(1, 0, 0, 5)",2620.8174787819194,2640.637308230274,True
"(0, 1, 0)","(0, 0, 1, 5)",2621.705533557645,2634.9187531898815,True
"(2, 1, 1)","(1, 1, 0, 5)",2622.451167029337,2645.362163939283,False
"(0, 1, 0)","(1, 0, 1, 5)",2623.704964474954,2640.2214890152495,True
"(0, 1, 2)","(0, 0, 0, 5)",2626.122763423379,2642.7133633926,True
"(1, 0, 0)","(1, 1, 0, 5)",2626.2072126923467,2642.6232313360365,True
"(1, 1, 2)","(0, 0, 0, 5)",2627.009674032955,2646.9183939960203,True
"(0, 1, 1)","(1, 0, 0, 5)",2632.04473047786,2648.586068964866,True
"(0, 0, 2)","(0, 0, 0, 5)",2632.518423776137,2649.133473671829,False
"(0, 1, 0)","(1, 0, 0, 5)",2633.7376354066355,2646.9707061962404,True
